ILMNGene_ProbeId,MBC_vs_CP_Up,MBC_vs_CP_Down,LBC_vs_CP_Up,LBC_vs_CP_Down,PTC209_Up,PTC_209_Down
CD84_ILMN1698367,0,0,0,1,0,1
CD9_ILMN1695423,1,0,1,0,0,1
CD93_ILMN1704730,1,0,0,0,0,1
CD96_ILMN1711573,1,0,1,0,1,0
CD96_ILMN2415786,1,0,1,0,1,0
CDC2_ILMN1747911,0,1,0,0,0,1
CDC20_ILMN1663390,0,1,0,0,0,1
CDC25A_ILMN1711005,0,1,0,1,0,1
CDC25C_ILMN1725260,0,0,0,1,0,1
CDC25C_ILMN2407619,0,0,0,1,0,1
CDC42EP4_ILMN1745223,0,1,0,1,0,1
CDC45L_ILMN1670238,0,1,0,0,0,1
CDC7_ILMN1741801,0,1,0,1,0,1
CDCA2_ILMN1660654,0,0,0,1,0,1
CDCA5_ILMN1683450,0,1,0,1,0,1
CDCA7_ILMN1737184,0,1,0,1,0,1
CDCA8_ILMN1709294,0,1,0,1,0,1
CDCP1_ILMN1724941,0,0,0,0,1,0
CDH26_ILMN2323007,0,0,0,1,0,1
CDKN1A_ILMN1784602,1,0,0,0,1,0
CDKN2AIP_ILMN1773066,0,1,0,1,1,0
CDKN3_ILMN1666305,0,1,0,0,0,1
CDT1_ILMN1651237,0,1,0,1,0,1
CEACAM1_ILMN1716815,1,0,0,0,1,0
CEACAM6_ILMN1712522,0,0,1,0,0,1
CELSR3_ILMN1691290,0,0,0,1,0,1
CENPE_ILMN2225718,0,0,0,1,0,1
CENPF_ILMN1664516,0,1,0,1,0,1
CENPH_ILMN1693221,0,1,0,1,0,1
CENPM_ILMN1668814,0,1,0,1,0,1
CENPM_ILMN2368718,0,1,0,0,0,1
CENPN_ILMN1720526,0,1,0,1,0,1
CENPV_ILMN1729142,0,1,0,0,0,1
CENPV_ILMN3246608,0,1,0,0,0,1
CENTA1_ILMN2047511,1,0,0,0,1,0
CFC1B_ILMN1781980,0,0,0,1,0,1
CFH_ILMN1657803,0,0,0,1,0,1
CFH_ILMN1810910,0,0,0,1,0,1
CFH_ILMN2412192,0,0,0,1,0,1
CFLAR_ILMN1789830,0,0,1,0,1,0
CFP_ILMN1658121,1,0,0,0,1,0
CHAF1B_ILMN1674231,0,1,0,1,0,1
CHEK1_ILMN1664630,0,1,0,0,0,1
CHEK2_ILMN2395236,0,0,0,1,0,1
CHIC2_ILMN1679428,1,0,0,0,1,0
CHTF18_ILMN1756705,0,1,0,0,0,1
CISH_ILMN1738207,1,0,0,0,1,0
CKAP2_ILMN1674411,0,0,0,1,0,1
CKAP2L_ILMN1751776,0,1,0,1,0,1
CKS1B_ILMN1719256,0,1,0,0,0,1
CKS1B_ILMN2041046,0,1,0,0,0,1
CKS2_ILMN1756326,0,1,0,1,0,1
CKS2_ILMN2072296,0,1,0,1,0,1
CLC_ILMN1654875,0,1,0,1,0,1
CLCNKA_ILMN2364072,0,1,0,1,0,1
CLDN10_ILMN1721818,0,0,0,1,0,1
CLEC1B_ILMN1745103,0,0,0,1,0,1
CLGN_ILMN2050813,0,0,0,1,0,1
CLIC4_ILMN2063586,1,0,0,0,1,0
CLIP1_ILMN2404085,1,0,1,0,1,0
CLNS1A_ILMN1736814,0,0,0,1,0,1
CMAH_ILMN1704084,1,0,1,0,1,0
CMAH_ILMN2086612,1,0,0,0,1,0
CMAS_ILMN2125374,0,0,0,1,0,1
CMTM5_ILMN1775373,0,1,0,1,0,1
CNRIP1_ILMN3232894,0,1,0,1,0,1
COCH_ILMN1711514,0,1,0,1,0,1
COCH_ILMN2180848,0,0,0,1,0,1
COLQ_ILMN1695991,0,0,1,0,0,1
COLQ_ILMN2329114,0,0,1,0,0,1
COQ2_ILMN1756572,0,0,0,0,0,1
COQ3_ILMN1801378,0,1,0,1,0,1
CORO1A_ILMN1713749,1,0,1,0,1,0
CPA3_ILMN1766551,0,1,0,1,0,1
CPOX_ILMN3240389,0,1,0,1,0,1
CPVL_ILMN2400759,0,1,0,0,0,1
CRADD_ILMN1690282,1,0,1,0,1,0
CRELD2_ILMN1748707,0,0,1,0,0,1
CRHBP_ILMN1761312,0,0,0,1,1,0
CRIP1_ILMN1656920,1,0,1,0,0,1
CROP_ILMN1728180,1,0,1,0,1,0
CRTC3_ILMN3260715,0,0,0,1,1,0
CRYZ_ILMN1672389,1,0,0,0,0,1
CSF2RA_ILMN2376455,1,0,0,0,1,0
CSGALNACT2_ILMN1799208,1,0,0,0,1,0
CSNK1G3_ILMN1652024,0,0,0,0,1,0
CTNNAL1_ILMN1721901,0,1,0,0,0,1
CTNNAL1_ILMN2136446,0,1,0,0,0,1
CTNS_ILMN1807719,1,0,1,0,1,0
CTSG_ILMN1680424,0,1,0,1,0,1
CTSO_ILMN1769633,1,0,0,0,1,0
CTSS_ILMN1743032,0,0,1,0,1,0
CTSZ_ILMN1666269,1,0,0,0,0,1
