ILMNGene_ProbeId;MBC_vs_CP_Up;MBC_vs_CP_Down;LBC_vs_CP_Up;LBC_vs_CP_Down;PTC209_Up;PTC209_Down
IL13RA1_ILMN1768505;1;0;1;0;1;0
IL17RB_ILMN1767523;1;0;0;0;1;0
IL17RD_ILMN2407851;0;0;1;0;1;0
IL18R1_ILMN1781700;1;0;0;0;1;0
IL1RAP_ILMN1686884;1;0;1;0;1;0
IL2RA_ILMN1683774;1;0;1;0;0;1
IL8_ILMN1666733;0;0;0;1;1;0
ILF3_ILMN1669584;0;0;0;1;0;1
IRF7_ILMN1798181;1;0;1;0;1;0
IRF7_ILMN2349061;1;0;1;0;1;0
ISCA1_ILMN1715931;0;0;0;1;0;1
ISG20_ILMN1659913;1;0;1;0;1;0
ITGA2B_ILMN1721888;0;1;0;1;0;1
ITGAL_ILMN1749591;1;0;1;0;1;0
ITGB3_ILMN1733324;0;0;0;1;0;1
ITM2A_ILMN2076600;0;0;0;1;0;1
JDP2_ILMN1747205;0;0;1;0;1;0
KCNK6_ILMN1701173;0;0;0;1;0;1
KEL_ILMN1738468;0;1;0;1;0;1
KIAA0101_ILMN1732150;0;1;0;1;0;1
KIAA0101_ILMN2285996;0;1;0;1;0;1
KIAA0125_ILMN1707491;1;0;0;1;1;0
KIF11_ILMN1794539;0;0;0;1;0;1
KIF11_ILMN2143155;0;0;0;1;0;1
KIF15_ILMN1753063;0;0;0;1;0;1
KIF20A_ILMN1695658;0;0;0;1;0;1
KIF20B_ILMN1712452;0;1;0;1;0;1
KIF22_ILMN3234884;0;1;0;1;0;1
KIF23_ILMN1811472;0;0;0;1;0;1
KIF24_ILMN1694126;0;0;0;1;0;1
KIF2C_ILMN1685916;0;1;0;1;0;1
KIF4A_ILMN1799667;0;0;0;1;0;1
KIFC1_ILMN2222008;0;0;0;1;0;1
KLF1_ILMN1707304;0;1;0;1;0;1
KLF2_ILMN1735930;1;0;1;0;1;0
KLF6_ILMN1737406;1;0;1;0;1;0
KLHL24_ILMN1678671;0;0;1;0;1;0
KLRG1_ILMN1658399;0;0;0;1;0;1
KPNA2_ILMN1721868;0;0;0;1;0;1
LAPTM5_ILMN1772359;0;0;1;0;1;0
LAT_ILMN1691539;0;0;0;1;0;1
LAT_ILMN2404625;0;0;0;1;0;1
LAX1_ILMN1769782;1;0;1;0;1;0
LCN2_ILMN1692223;0;1;0;1;0;1
LEF1_ILMN1679185;0;1;1;0;1;0
LEF1_ILMN2213136;0;1;1;0;1;0
LGMN_ILMN1698019;0;0;1;0;0;1
LGMN_ILMN2332964;0;0;1;0;0;1
LIG1_ILMN1706779;0;1;0;1;0;1
LILRA2_ILMN1716983;0;0;1;0;1;0
LIMA1_ILMN1704369;0;0;0;1;0;1
LOC100129034_ILMN3256478;1;0;0;0;1;0
LOC100130298_ILMN3270853;1;0;1;0;0;1
LOC100130561_ILMN3265797;0;1;0;1;0;1
LOC100132564_ILMN3243644;0;0;1;0;1;0
LOC100133012_ILMN3240003;0;0;0;1;0;1
LOC100133489_ILMN3237584;0;0;0;1;0;1
LOC100133583_ILMN3214389;0;0;1;0;1;0
LOC100133678_ILMN3249667;0;0;1;0;1;0
LOC100134304_ILMN3239785;0;0;0;1;0;1
LOC149134_ILMN1741506;1;0;1;0;1;0
LOC196752_ILMN1803743;0;0;1;0;1;0
LOC283755_ILMN1773095;0;1;0;0;0;1
LOC285016_ILMN2089752;0;0;1;0;0;1
LOC286016_ILMN1684114;0;0;0;1;0;1
LOC286367_ILMN3236656;0;0;1;0;1;0
LOC341965_ILMN3284063;0;0;0;1;0;1
LOC346887_ILMN1714741;1;0;1;0;0;1
LOC387763_ILMN1677402;0;1;0;1;0;1
LOC388588_ILMN1749834;0;1;0;1;0;1
LOC388796_ILMN3235326;0;0;0;1;1;0
LOC399942_ILMN1765701;0;0;0;1;0;1
LOC441046_ILMN1693523;0;1;0;1;0;1
LOC606724_ILMN2125747;1;0;1;0;1;0
